email, senha
0.623928106852582@gmail.comuser,user
0.27463874516144415@gmail.comuser,user
0.3966782158361653@gmail.comuser,user 
0.15701042055797146@gmail.comuser,user
0.9824301304634075@gmail.comuser,user 
0.068929520356389@gmail.comuser,user  
0.318347686305029@gmail.comuser,user  
0.5856684156788072@gmail.comuser,user 
0.43483047334489494@gmail.comuser,user
0.5719316037439371@gmail.comuser,user 
0.4139326235474996@gmail.comuser,user 
0.0881243371283564@gmail.comuser,user 
0.5591894946412372@gmail.comuser,user 
0.11334996260952863@gmail.comuser,user
0.18770815625819656@gmail.comuser,user
0.04379505325447905@gmail.comuser,user
0.3577687704798386@gmail.comuser,user
